text,sentiment
"Quels sont les modules de formation en ligne disponibles actuellement ?","Neutre"
"Je cherche le contact de mon gestionnaire de paie.","Neutre"
"Comment se déroule la validation des demandes de congé ?","Neutre"
"Je voudrais consulter la convention collective de l'entreprise.","Neutre"
"Pouvez-vous m'envoyer le formulaire de demande de formation ?","Neutre"
"Quelle est la politique de l'entreprise concernant le droit à la déconnexion ?","Neutre"
"Je souhaite connaître les modalités de l'indemnité de transport.","Neutre"
"Comment obtenir mon bulletin de paie du mois dernier ?","Neutre"
"Je voudrais savoir si mon avenant de contrat est prêt.","Neutre"
"Quelles sont les règles de sécurité informatique à respecter en télétravail ?","Neutre"
"Quel est l'interlocuteur privilégié pour les questions de mutuelle ?","Neutre"
"Je voudrais savoir comment déclarer mes heures supplémentaires.","Neutre"
"Pouvez-vous me rappeler la procédure pour réserver une salle de réunion ?","Neutre"
"Je cherche le document officiel détaillant la politique RSE de l'entreprise.","Neutre"
"Quelles sont les formalités à accomplir en cas de déménagement personnel ?","Neutre"
"Comment fonctionne l'attribution des tickets restaurant ?","Neutre"
"Je souhaite faire une demande de congé sans solde pour convenance personnelle.","Neutre"
"Où puis-je consulter le calendrier des jours fériés de cette année ?","Neutre"
"Comment s'inscrire aux prochains ateliers de sensibilisation à la sécurité ?","Neutre"
"Je cherche des renseignements sur le renouvellement de mon contrat.","Neutre"
"Pouvez-vous m'indiquer la démarche pour demander un double écran ?","Neutre"
"Comment déclarer un incident technique auprès du support informatique ?","Neutre"
"Je souhaite connaître les critères d'éligibilité pour le travail à temps partiel.","Neutre"
"Quelle est la procédure de départ ou de démission d'un collaborateur ?","Neutre"
"Je voudrais savoir si une formation sur l'intelligence artificielle est prévue.","Neutre"
"Comment obtenir un badge d'accès pour les nouveaux locaux ?","Neutre"
"Où sont archivés mes anciens rapports d'évaluation annuelle ?","Neutre"
"Je souhaite mettre à jour mon numéro de téléphone dans l'annuaire interne.","Neutre"
"Pouvez-vous me transmettre le contact du délégué du personnel ?","Neutre"
"Comment sont calculées les indemnités de fin de stage ?","Neutre"
"Je suis extrêmement fatigué en ce moment, je n'en peux plus.","Stressé"
"La charge de travail est devenue beaucoup trop lourde pour moi.","Stressé"
"Je me sens complètement débordé et surchargé par les tâches.","Stressé"
"Je ressens une énorme pression sur mes épaules ces derniers temps.","Stressé"
"J'ai l'impression de faire un burnout ou un surmenage complet.","Stressé"
"Je n'arrive plus à dormir à cause du stress du travail.","Stressé"
"Je suis épuisé physiquement et mentalement, j'ai besoin d'une pause.","Stressé"
"La pression des délais me stresse énormément tous les jours.","Stressé"
"J'ai peur de craquer si la situation de surcharge continue ainsi.","Stressé"
"Je me sens très tendu et anxieux à l'approche des livraisons.","Stressé"
"Je n'arrive plus à gérer mon temps avec toutes ces urgences.","Stressé"
"C'est trop difficile de concilier cette charge de travail avec ma vie privée.","Stressé"
"Je ressens une fatigue intense qui ne passe pas, même après le week-end.","Stressé"
"Je stresse continuellement au bureau, cela affecte ma santé.","Stressé"
"On me demande d'accomplir trop de tâches en même temps.","Stressé"
"Je suis proche de l'épuisement professionnel complet.","Stressé"
"La quantité de travail demandée cette semaine est démesurée.","Stressé"
"Je me sens complètement angoissé à l'idée d'aller travailler demain.","Stressé"
"Je perds mes moyens face à cette charge de travail excessive.","Stressé"
"Mon niveau d'anxiété est très élevé à cause du projet actuel.","Stressé"
"Je n'ai pas le temps de respirer entre deux réunions importantes.","Stressé"
"Je me sens submergé par les demandes incessantes de mon client.","Stressé"
"Je suis au bout du rouleau, je n'arrive plus à avancer.","Stressé"
"La pression managériale sur les objectifs m'épuise.","Stressé"
"Je ressens un stress permanent depuis quelques semaines.","Stressé"
"J'ai l'impression de couler sous la tonne de dossiers en attente.","Stressé"
"La fatigue mentale commence à impacter sérieusement ma concentration.","Stressé"
"Je n'en peux plus de travailler sous pression constante.","Stressé"
"Mes forces m'abandonnent, je me sens vidé de toute énergie.","Stressé"
"Je commence à saturer avec tout ce stress quotidien.","Stressé"
"Je fais des crises d'angoisse régulières à cause de l'ambiance tendue du projet.","Stressé"
"La charge mentale est insupportable, je n'arrive plus à déconnecter chez moi.","Stressé"
"Le cumul des tâches à effectuer sans aide me stresse de plus en plus.","Stressé"
"Je me sens piégé par des délais intenables imposés sans concertation.","Stressé"
"Je dors à peine quelques heures par nuit, je suis à bout de forces.","Stressé"
"J'ai la sensation constante d'être au bord de la rupture professionnelle.","Stressé"
"La pression constante pour atteindre les chiffres me rend malade.","Stressé"
"Je n'arrive plus à faire face à toutes ces demandes urgentes.","Stressé"
"Je ressens un poids sur la poitrine dès que j'arrive au bureau.","Stressé"
"Mon médecin m'a alerté sur mon état de fatigue générale lié au travail.","Stressé"
"Je me sens dépassé par la complexité technique et le manque de temps.","Stressé"
"L'accumulation de stress commence à avoir des répercussions physiques.","Stressé"
"Je stresse pour des détails insignifiants à cause de cette fatigue accumulée.","Stressé"
"Je suis submergé de mails et de notifications du matin au soir.","Stressé"
"J'ai l'impression de courir après le temps sans jamais y arriver.","Stressé"
"L'incertitude permanente sur l'avenir du projet me génère beaucoup de stress.","Stressé"
"Mes collègues remarquent que je suis fatigué et irritable ces derniers temps.","Stressé"
"La surcharge de travail m'empêche de prendre mes pauses déjeuner correctement.","Stressé"
"Je me sens vidé et incapable de fournir des efforts supplémentaires.","Stressé"
"C'est le chaos total sur ce projet, et c'est moi qui subis tout le stress.","Stressé"
"Je suis vraiment déçu de la manière dont les promotions ont été gérées.","Frustré"
"C'est injuste, mes efforts ne sont pas reconnus à leur juste valeur.","Frustré"
"Je me sens complètement bloqué dans mon évolution de carrière chez Segula.","Frustré"
"J'ai l'impression de faire du surplace sans aucune perspective.","Frustré"
"Je ressens un manque flagrant de reconnaissance de la part de mon manager.","Frustré"
"Je suis fatigué d'attendre des réponses des RH qui ne viennent jamais.","Frustré"
"On me promet des choses depuis des mois mais rien ne change.","Frustré"
"Je me sens inutile sur ce projet sans intérêt.","Frustré"
"Mes compétences sont sous-utilisées et cela me déçoit beaucoup.","Frustré"
"Il y a un manque total de communication dans cette équipe.","Frustré"
"Je suis démotivé par la lourdeur des processus administratifs.","Frustré"
"Je ne comprends pas la décision finale qui a été prise concernant mon dossier.","Frustré"
"C'est lassant de devoir relancer sans cesse pour obtenir une validation.","Frustré"
"Je regrette le manque d'écoute lors de mon entretien professionnel.","Frustré"
"Mes suggestions d'amélioration sont toujours ignorées ou rejetées.","Frustré"
"Je commence à perdre patience face à cette désorganisation globale.","Frustré"
"J'espérais plus de soutien de la part de mes supérieurs sur ce sujet.","Frustré"
"C'est décourageant de travailler autant pour si peu de résultats visibles.","Frustré"
"La gestion des carrières dans notre département laisse vraiment à désirer.","Frustré"
"Je ressens une profonde déception quant aux promesses de formation non tenues.","Frustré"
"C'est frustrant de ne pas avoir les outils nécessaires pour bien travailler.","Frustré"
"On m'a mis sur la touche sans m'expliquer pourquoi.","Frustré"
"J'ai le sentiment que mes demandes administratives sont ignorées.","Frustré"
"Je suis lassé par le manque de dynamisme et d'innovation dans le projet.","Frustré"
"On me change de tâche tous les jours sans aucune cohérence.","Frustré"
"C'est décevant de constater un tel manque de transparence.","Frustré"
"Je me sens déconnecté des objectifs de l'entreprise.","Frustré"
"Mes efforts ne semblent intéresser personne dans ce service.","Frustré"
"J'ai un grand sentiment de gâchis par rapport à mon implication.","Frustré"
"C'est pénible d'être ralenti en permanence par des blocages internes.","Frustré"
"Je travaille d'arrache-pied mais ma demande d'augmentation a été refusée.","Frustré"
"J'ai l'impression que mes avis et retours ne comptent pour rien.","Frustré"
"On me confie les tâches les plus rébarbatives sans explications.","Frustré"
"C'est démotivant de voir des collègues moins impliqués être promus.","Frustré"
"Je n'ai reçu aucun retour constructif après la fin de ma mission.","Frustré"
"L'absence totale de directives claires de la hiérarchie est décevante.","Frustré"
"Je regrette le manque d'opportunités d'apprentissage sur ce projet obsolète.","Frustré"
"C'est frustrant de devoir constamment justifier ses moindres faits et gestes.","Frustré"
"J'ai le sentiment d'être un simple numéro ici, sans considération humaine.","Frustré"
"Mes propositions pour améliorer le workflow ont été balayées d'un revers de main.","Frustré"
"Je suis lassé par les réunions inutiles qui n'aboutissent à aucune action.","Frustré"
"L'absence de perspectives professionnelles me pousse à regarder ailleurs.","Frustré"
"Je me sens isolé et incompris par l'équipe d'encadrement.","Frustré"
"Il est décourageant de voir mon autonomie réduite à néant de jour en jour.","Frustré"
"Le fossé entre le discours officiel et la réalité sur le terrain est frustrant.","Frustré"
"Je n'ai toujours pas eu de réponse pour ma demande de mutation interne.","Frustré"
"On nous demande d'être agiles alors que les processus sont figés.","Frustré"
"J'ai le sentiment de perdre mon temps sur des tâches sans valeur ajoutée.","Frustré"
"L'incohérence des consignes au sein du projet me fatigue énormément.","Frustré"
"Je suis las de travailler dans le vide sans aucune visibilité à moyen terme.","Frustré"
"C'est absolument inadmissible de me parler sur ce ton !","Colère"
"Je suis extrêmement en colère contre le comportement de mon collègue.","Colère"
"C'est du grand n'importe quoi, je refuse de continuer dans ces conditions !","Colère"
"Je suis hors de moi, cette situation est intolérable.","Colère"
"C'est révoltant de traiter les collaborateurs de cette manière.","Colère"
"Je déteste qu'on me manque de respect ouvertement pendant les réunions.","Colère"
"Je suis furieux de voir que mon travail a été saboté par d'autres.","Colère"
"C'est une honte de ne pas avoir été payé à temps ce mois-ci !","Colère"
"Je refuse catégoriquement d'assumer les erreurs commises par le management.","Colère"
"Cette insulte ou ce manque de considération est la goutte d'eau qui fait déborder le vase.","Colère"
"Je suis extrêmement agacé et énervé par ces dysfonctionnements répétés.","Colère"
"Le ton employé par mon responsable lors de notre point était insultant.","Colère"
"C'est inacceptable, je vais en référer immédiatement à la direction !","Colère"
"Cette injustice flagrante me met hors de moi.","Colère"
"Je suis excédé par les mensonges et les faux-semblants dans ce service.","Colère"
"C'est inadmissible, vous devez corriger cette erreur sur mon bulletin tout de suite !","Colère"
"J'en ai marre qu'on me prenne pour un idiot dans cette boîte.","Colère"
"Cette décision unilatérale est un manque total de respect envers nous.","Colère"
"Je suis furieuse de la façon dont j'ai été écartée de ce projet important.","Colère"
"C'est scandaleux d'agir de la sorte sans aucune concertation préalable.","Colère"
"Mon agacement face à cette situation stérile a atteint ses limites.","Colère"
"Je suis extrêmement en colère d'avoir été induit en erreur par les RH.","Colère"
"Cette gestion désastreuse me rend fou de rage.","Colère"
"C'est honteux de traiter un collaborateur avec autant de mépris !","Colère"
"Je conteste formellement cette décision absurde et aberrante.","Colère"
"Je suis excédé par le manque de professionnalisme évident de cette équipe.","Colère"
"Cette situation conflictuelle est devenue complètement insupportable.","Colère"
"Je ne tolérerai plus aucun manque de respect à mon égard.","Colère"
"C'est aberrant de voir comment les choses sont gérées ici !","Colère"
"Je suis furieux et j'exige des explications immédiates sur cette décision.","Colère"
"Je suis excédé par le mépris avec lequel ma demande a été traitée !","Colère"
"C'est inadmissible d'annuler mes congés validés à la dernière minute !","Colère"
"Je refuse de me laisser marcher sur les pieds plus longtemps par mon client.","Colère"
"Cette remarque sexiste / raciste au bureau est intolérable et illégale !","Colère"
"Je suis en rage d'avoir perdu toutes mes données à cause d'une erreur informatique.","Colère"
"C'est un scandale, on nous traite comme du bétail sans aucune valeur humaine !","Colère"
"Je suis furieux qu'on m'ait menti sur les conditions réelles de ma mission.","Colère"
"Je conteste ce blâme ridicule et injustifié de toutes mes forces !","Colère"
"C'est n'importe quoi, vous mettez la clé sous la porte par pure incompétence !","Colère"
"Je refuse de travailler une minute de plus sans être payé pour mes heures sup.","Colère"
"Cette attitude hautaine et arrogante de la part des RH m'exaspère au plus haut point !","Colère"
"Je suis outré par le comportement déplacé et agressif de mon manager.","Colère"
"C'est révoltant de voir que les réclamations des salariés sont jetées à la poubelle.","Colère"
"Je ne supporte plus ce climat de suspicion et ces accusations gratuites.","Colère"
"Cette décision injuste de licenciement de mon collègue me met hors de moi !","Colère"
"Je suis en colère de constater que ma loyauté envers cette boîte est récompensée par du mépris.","Colère"
"J'exige que ce problème de harcèlement moral soit réglé immédiatement !","Colère"
"C'est une honte de rogner sur nos budgets de cette façon mesquine !","Colère"
"Je suis furieux de devoir rattraper continuellement l'incompétence de mes pairs.","Colère"
"Le manque de respect répété à mon encontre va se régler aux prud'hommes s'il le faut !","Colère"
Je suis très heureux d'avoir rejoint l'équipe de Segula.,Positif
Les projets sont passionnants et l'ambiance est au top.,Positif
Merci au management pour la confiance accordée sur ce dossier.,Positif
"L'onboarding s'est déroulé à la perfection, très bonne intégration.",Positif
Le support technique et l'entraide entre collègues sont remarquables.,Positif
Très satisfait de l'autonomie et de la flexibilité de mes horaires.,Positif
"Une superbe ambiance de travail au quotidien, c'est très motivant.",Positif
Les formations proposées sont d'une grande qualité.,Positif
Je me sens valorisé pour mes contributions à la réussite du projet.,Positif
C'est un réel plaisir de collaborer avec des personnes aussi professionnelles.,Positif
J'ai reçu mon planning pour la semaine prochaine.,Neutre
La réunion d'information mensuelle aura lieu ce jeudi.,Neutre
Le dossier administratif a été transmis aux ressources humaines.,Neutre
Je viens de terminer la saisie de mes heures pour ce mois.,Neutre
Le client a demandé une modification mineure de la spécification.,Neutre
La documentation technique a été mise à jour sur le serveur.,Neutre
J'ai pris note des nouvelles directives pour le projet.,Neutre
Pouvez-vous me confirmer l'heure de notre point hebdomadaire ?,Neutre
Le matériel informatique a été livré ce matin par le service logistique.,Neutre
La procédure de validation a été envoyée par courriel.,Neutre
Je me sens sous pression avec cette échéance qui approche à grands pas.,Stressé
La charge de travail actuelle devient vraiment lourde à gérer.,Stressé
J'ai du mal à dormir à cause des soucis sur le projet.,Stressé
Je crains de ne pas réussir à finir les tâches à temps.,Stressé
Il y a trop de réunions et pas assez de temps pour produire.,Stressé
La pression constante des clients commence à impacter mon sommeil.,Stressé
Je me sens submergé par toutes ces demandes urgentes qui s'accumulent.,Stressé
Cette surcharge de travail permanente me fatigue beaucoup.,Stressé
J'ai peur de faire un burnout si le rythme ne ralentit pas.,Stressé
Le manque d'effectif crée une tension permanente sur nos livrables.,Stressé
Je suis déçu que ma demande de formation n'ait pas été acceptée.,Frustré
Les décisions sont prises sans concertation et c'est agaçant.,Frustré
Mes efforts ne sont jamais reconnus par le management.,Frustré
On me confie des tâches répétitives sans intérêt technique.,Frustré
"Les outils de développement rament sans arrêt, c'est pénible pour coder.",Frustré
Je me sens bloqué dans mon évolution de carrière au sein du service.,Frustré
Le manque de communication entre les services bloque nos avancées.,Frustré
Il y a toujours des promesses mais jamais d'actions concrètes.,Frustré
Mes remarques ne sont jamais prises en compte lors des points d'équipe.,Frustré
C'est fatigant de devoir constamment se battre pour obtenir des ressources.,Frustré
Je suis hors de moi suite au comportement inacceptable de mon supérieur.,Colère
C'est une honte d'annuler nos congés à la dernière minute sans explication.,Colère
Je refuse catégoriquement d'assumer les erreurs grossières du management.,Colère
Ce manque de respect systématique est tout simplement intolérable !,Colère
Je suis furieux qu'on m'ait menti sur les responsabilités de ce poste.,Colère
C'est absolument révoltant d'ignorer nos réclamations de cette manière !,Colère
Je suis excédé par le manque de considération pour notre travail.,Colère
Le ton agressif employé lors de la réunion de ce matin est scandaleux.,Colère
Cette injustice dans l'attribution des primes me met hors de moi !,Colère
C'est inadmissible d'être traité ainsi après tant d'années de loyauté !,Colère
